UpperName	miRGate.name	Accession	Name
HSA-MIR-34A-5P	hsa-mir-34a-5p	MIMAT0000255	hsa-miR-34a-5p
HSA-MIR-30C-1-3P	hsa-mir-30c-1-3p	MIMAT0004674	hsa-miR-30c-1-3p
HSA-MIR-197-5P	hsa-mir-197-5p	MIMAT0022691	hsa-miR-197-5p
HSA-MIR-942-3P	hsa-mir-942-3p	MIMAT0026734	hsa-miR-942-3p
HSA-MIR-1296-3P	hsa-mir-1296-3p	MIMAT0026637	hsa-miR-1296-3p
HSA-MIR-3158-5P	hsa-mir-3158-5p	MIMAT0019211	hsa-miR-3158-5p
HSA-MIR-1908-5P	hsa-mir-1908-5p	MIMAT0007881	hsa-miR-1908-5p
HSA-MIR-194-3P	hsa-mir-194-3p	MIMAT0004671	hsa-miR-194-3p
HSA-MIR-34C-5P	hsa-mir-34c-5p	MIMAT0000686	hsa-miR-34c-5p
HSA-MIR-625-5P	hsa-mir-625-5p	MIMAT0003294	hsa-miR-625-5p
HSA-MIR-342-5P	hsa-mir-342-5p	MIMAT0004694	hsa-miR-342-5p
HSA-MIR-654-5P	hsa-mir-654-5p	MIMAT0003330	hsa-miR-654-5p
HSA-MIR-6511A-5P	hsa-mir-6511a-5p	MIMAT0025478	hsa-miR-6511a-5p
HSA-MIR-6511A-5P	hsa-mir-6511a-5p	MIMAT0025478	hsa-miR-6511a-5p
HSA-MIR-6511A-5P	hsa-mir-6511a-5p	MIMAT0025478	hsa-miR-6511a-5p
HSA-MIR-1910-3P	hsa-mir-1910-3p	MIMAT0026917	hsa-miR-1910-3p
HSA-MIR-132-5P	hsa-mir-132-5p	MIMAT0004594	hsa-miR-132-5p
HSA-MIR-744-5P	hsa-mir-744-5p	MIMAT0004945	hsa-miR-744-5p
HSA-LET-7E-5P	hsa-let-7e-5p	MIMAT0000066	hsa-let-7e-5p
HSA-MIR-128-1-5P	hsa-mir-128-1-5p	MIMAT0026477	hsa-miR-128-1-5p
HSA-MIR-149-3P	hsa-mir-149-3p	MIMAT0004609	hsa-miR-149-3p
HSA-MIR-1	hsa-mir-1	MIMAT0000416	hsa-miR-1
HSA-MIR-128-2-5P	hsa-mir-128-2-5p	MIMAT0031095	hsa-miR-128-2-5p
HSA-MIR-579-3P	hsa-mir-579-3p	MIMAT0003244	hsa-miR-579-3p
HSA-MIR-30C-2-3P	hsa-mir-30c-2-3p	MIMAT0004550	hsa-miR-30c-2-3p
HSA-MIR-25-5P	hsa-mir-25-5p	MIMAT0004498	hsa-miR-25-5p
HSA-MIR-335-3P	hsa-mir-335-3p	MIMAT0004703	hsa-miR-335-3p
HSA-MIR-221-3P	hsa-mir-221-3p	MIMAT0000278	hsa-miR-221-3p
HSA-MIR-222-3P	hsa-mir-222-3p	MIMAT0000279	hsa-miR-222-3p
HSA-MIR-4536-5P	hsa-mir-4536-5p	MIMAT0019078	hsa-miR-4536-5p
HSA-MIR-374A-3P	hsa-mir-374a-3p	MIMAT0004688	hsa-miR-374a-3p
HSA-MIR-92A-2-5P	hsa-mir-92a-2-5p	MIMAT0004508	hsa-miR-92a-2-5p
HSA-MIR-450A-1-3P	hsa-mir-450a-1-3p	MIMAT0022700	hsa-miR-450a-1-3p
HSA-MIR-504-3P	hsa-mir-504-3p	MIMAT0026612	hsa-miR-504-3p
HSA-MIR-505-5P	hsa-mir-505-5p	MIMAT0004776	hsa-miR-505-5p
HSA-MIR-664B-3P	hsa-mir-664b-3p	MIMAT0022272	hsa-miR-664b-3p
