UpperName	miRGate.name	Accession	Name
HSA-MIR-200A-5P	hsa-mir-200a-5p	MIMAT0001620	hsa-miR-200a-5p
HSA-MIR-3605-5P	hsa-mir-3605-5p	MIMAT0017981	hsa-miR-3605-5p
HSA-MIR-30C-1-3P	hsa-mir-30c-1-3p	MIMAT0004674	hsa-miR-30c-1-3p
HSA-MIR-186-5P	hsa-mir-186-5p	MIMAT0000456	hsa-miR-186-5p
HSA-MIR-197-5P	hsa-mir-197-5p	MIMAT0022691	hsa-miR-197-5p
HSA-MIR-942-5P	hsa-mir-942-5p	MIMAT0004985	hsa-miR-942-5p
HSA-MIR-92B-5P	hsa-mir-92b-5p	MIMAT0004792	hsa-miR-92b-5p
HSA-MIR-9-5P	hsa-mir-9-5p	MIMAT0000441	hsa-miR-9-5p
HSA-MIR-9-3P	hsa-mir-9-3p	MIMAT0000442	hsa-miR-9-3p
HSA-MIR-556-5P	hsa-mir-556-5p	MIMAT0003220	hsa-miR-556-5p
HSA-MIR-1296-5P	hsa-mir-1296-5p	MIMAT0005794	hsa-miR-1296-5p
HSA-MIR-3158-5P	hsa-mir-3158-5p	MIMAT0019211	hsa-miR-3158-5p
HSA-MIR-1307-3P	hsa-mir-1307-3p	MIMAT0005951	hsa-miR-1307-3p
HSA-MIR-548E-5P	hsa-mir-548e-5p	MIMAT0026736	hsa-miR-548e-5p
HSA-MIR-202-5P	hsa-mir-202-5p	MIMAT0002810	hsa-miR-202-5p
HSA-MIR-210-3P	hsa-mir-210-3p	MIMAT0000267	hsa-miR-210-3p
HSA-MIR-210-5P	hsa-mir-210-5p	MIMAT0026475	hsa-miR-210-5p
HSA-MIR-483-5P	hsa-mir-483-5p	MIMAT0004761	hsa-miR-483-5p
HSA-MIR-483-3P	hsa-mir-483-3p	MIMAT0002173	hsa-miR-483-3p
HSA-MIR-129-2-3P	hsa-mir-129-2-3p	MIMAT0004605	hsa-miR-129-2-3p
HSA-MIR-1908-5P	hsa-mir-1908-5p	MIMAT0007881	hsa-miR-1908-5p
HSA-MIR-1908-3P	hsa-mir-1908-3p	MIMAT0026916	hsa-miR-1908-3p
HSA-MIR-139-3P	hsa-mir-139-3p	MIMAT0004552	hsa-miR-139-3p
HSA-MIR-34B-5P	hsa-mir-34b-5p	MIMAT0000685	hsa-miR-34b-5p
HSA-MIR-34B-3P	hsa-mir-34b-3p	MIMAT0004676	hsa-miR-34b-3p
HSA-MIR-125B-5P	hsa-mir-125b-5p	MIMAT0000423	hsa-miR-125b-5p
HSA-MIR-100-5P	hsa-mir-100-5p	MIMAT0000098	hsa-miR-100-5p
HSA-MIR-148B-3P	hsa-mir-148b-3p	MIMAT0000759	hsa-miR-148b-3p
HSA-MIR-331-3P	hsa-mir-331-3p	MIMAT0000760	hsa-miR-331-3p
HSA-MIR-3613-3P	hsa-mir-3613-3p	MIMAT0017991	hsa-miR-3613-3p
HSA-MIR-16-5P	hsa-mir-16-5p	MIMAT0000069	hsa-miR-16-5p
HSA-MIR-15A-5P	hsa-mir-15a-5p	MIMAT0000068	hsa-miR-15a-5p
HSA-MIR-18A-5P	hsa-mir-18a-5p	MIMAT0000072	hsa-miR-18a-5p
HSA-MIR-548AR-5P	hsa-mir-548ar-5p	MIMAT0022265	hsa-miR-548ar-5p
HSA-MIR-4707-5P	hsa-mir-4707-5p	MIMAT0019807	hsa-miR-4707-5p
HSA-MIR-625-5P	hsa-mir-625-5p	MIMAT0003294	hsa-miR-625-5p
HSA-MIR-342-5P	hsa-mir-342-5p	MIMAT0004694	hsa-miR-342-5p
HSA-MIR-493-5P	hsa-mir-493-5p	MIMAT0002813	hsa-miR-493-5p
HSA-MIR-136-5P	hsa-mir-136-5p	MIMAT0000448	hsa-miR-136-5p
HSA-MIR-136-3P	hsa-mir-136-3p	MIMAT0004606	hsa-miR-136-3p
HSA-MIR-370-3P	hsa-mir-370-3p	MIMAT0000722	hsa-miR-370-3p
HSA-MIR-323A-5P	hsa-mir-323a-5p	MIMAT0004696	hsa-miR-323a-5p
HSA-MIR-758-5P	hsa-mir-758-5p	MIMAT0022929	hsa-miR-758-5p
HSA-MIR-494-5P	hsa-mir-494-5p	MIMAT0026607	hsa-miR-494-5p
HSA-MIR-376C-3P	hsa-mir-376c-3p	MIMAT0000720	hsa-miR-376c-3p
HSA-MIR-654-5P	hsa-mir-654-5p	MIMAT0003330	hsa-miR-654-5p
HSA-MIR-381-3P	hsa-mir-381-3p	MIMAT0000736	hsa-miR-381-3p
HSA-MIR-134-3P	hsa-mir-134-3p	MIMAT0026481	hsa-miR-134-3p
HSA-MIR-485-3P	hsa-mir-485-3p	MIMAT0002176	hsa-miR-485-3p
HSA-MIR-377-3P	hsa-mir-377-3p	MIMAT0000730	hsa-miR-377-3p
HSA-MIR-409-3P	hsa-mir-409-3p	MIMAT0001639	hsa-miR-409-3p
HSA-MIR-369-3P	hsa-mir-369-3p	MIMAT0000721	hsa-miR-369-3p
HSA-MIR-211-5P	hsa-mir-211-5p	MIMAT0000268	hsa-miR-211-5p
