UpperName	miRGate.name	Accession	Name
HSA-MIR-200B-5P	hsa-mir-200b-5p	MIMAT0004571	hsa-miR-200b-5p
HSA-MIR-200A-5P	hsa-mir-200a-5p	MIMAT0001620	hsa-miR-200a-5p
HSA-MIR-34A-5P	hsa-mir-34a-5p	MIMAT0000255	hsa-miR-34a-5p
HSA-MIR-30E-5P	hsa-mir-30e-5p	MIMAT0000692	hsa-miR-30e-5p
HSA-MIR-30E-3P	hsa-mir-30e-3p	MIMAT0000693	hsa-miR-30e-3p
HSA-MIR-30C-5P	hsa-mir-30c-5p	MIMAT0000244	hsa-miR-30c-5p
HSA-MIR-30C-1-3P	hsa-mir-30c-1-3p	MIMAT0004674	hsa-miR-30c-1-3p
HSA-MIR-101-5P	hsa-mir-101-5p	MIMAT0004513	hsa-miR-101-5p
HSA-MIR-101-3P	hsa-mir-101-3p	MIMAT0000099	hsa-miR-101-3p
HSA-MIR-186-5P	hsa-mir-186-5p	MIMAT0000456	hsa-miR-186-5p
HSA-MIR-186-3P	hsa-mir-186-3p	MIMAT0004612	hsa-miR-186-3p
HSA-MIR-942-5P	hsa-mir-942-5p	MIMAT0004985	hsa-miR-942-5p
HSA-MIR-9-5P	hsa-mir-9-5p	MIMAT0000441	hsa-miR-9-5p
HSA-MIR-9-3P	hsa-mir-9-3p	MIMAT0000442	hsa-miR-9-3p
HSA-MIR-199A-3P	hsa-mir-199a-3p	MIMAT0000232	hsa-miR-199a-3p
HSA-MIR-181A-5P	hsa-mir-181a-5p	MIMAT0000256	hsa-miR-181a-5p
HSA-MIR-135B-5P	hsa-mir-135b-5p	MIMAT0000758	hsa-miR-135b-5p
HSA-MIR-548E-3P	hsa-mir-548e-3p	MIMAT0005874	hsa-miR-548e-3p
HSA-MIR-202-3P	hsa-mir-202-3p	MIMAT0002811	hsa-miR-202-3p
HSA-MIR-210-3P	hsa-mir-210-3p	MIMAT0000267	hsa-miR-210-3p
HSA-MIR-483-3P	hsa-mir-483-3p	MIMAT0002173	hsa-miR-483-3p
HSA-MIR-129-5P	hsa-mir-129-5p	MIMAT0000242	hsa-miR-129-5p
HSA-MIR-194-5P	hsa-mir-194-5p	MIMAT0000460	hsa-miR-194-5p
HSA-MIR-194-3P	hsa-mir-194-3p	MIMAT0004671	hsa-miR-194-3p
HSA-MIR-139-5P	hsa-mir-139-5p	MIMAT0000250	hsa-miR-139-5p
HSA-MIR-708-3P	hsa-mir-708-3p	MIMAT0004927	hsa-miR-708-3p
HSA-MIR-1304-5P	hsa-mir-1304-5p	MIMAT0005892	hsa-miR-1304-5p
HSA-MIR-1304-3P	hsa-mir-1304-3p	MIMAT0022720	hsa-miR-1304-3p
HSA-MIR-34B-5P	hsa-mir-34b-5p	MIMAT0000685	hsa-miR-34b-5p
HSA-MIR-34B-3P	hsa-mir-34b-3p	MIMAT0004676	hsa-miR-34b-3p
HSA-MIR-34C-5P	hsa-mir-34c-5p	MIMAT0000686	hsa-miR-34c-5p
HSA-MIR-34C-3P	hsa-mir-34c-3p	MIMAT0004677	hsa-miR-34c-3p
HSA-LET-7A-5P	hsa-let-7a-5p	MIMAT0000062	hsa-let-7a-5p
HSA-MIR-200C-5P	hsa-mir-200c-5p	MIMAT0004657	hsa-miR-200c-5p
HSA-MIR-200C-3P	hsa-mir-200c-3p	MIMAT0000617	hsa-miR-200c-3p
HSA-MIR-141-5P	hsa-mir-141-5p	MIMAT0004598	hsa-miR-141-5p
HSA-MIR-141-3P	hsa-mir-141-3p	MIMAT0000432	hsa-miR-141-3p
HSA-MIR-196A-5P	hsa-mir-196a-5p	MIMAT0000226	hsa-miR-196a-5p
HSA-MIR-616-3P	hsa-mir-616-3p	MIMAT0004805	hsa-miR-616-3p
HSA-MIR-331-5P	hsa-mir-331-5p	MIMAT0004700	hsa-miR-331-5p
HSA-MIR-331-3P	hsa-mir-331-3p	MIMAT0000760	hsa-miR-331-3p
HSA-MIR-3613-5P	hsa-mir-3613-5p	MIMAT0017990	hsa-miR-3613-5p
HSA-MIR-3613-3P	hsa-mir-3613-3p	MIMAT0017991	hsa-miR-3613-3p
HSA-MIR-16-5P	hsa-mir-16-5p	MIMAT0000069	hsa-miR-16-5p
HSA-MIR-16-1-3P	hsa-mir-16-1-3p	MIMAT0004489	hsa-miR-16-1-3p
HSA-MIR-15A-5P	hsa-mir-15a-5p	MIMAT0000068	hsa-miR-15a-5p
HSA-MIR-15A-3P	hsa-mir-15a-3p	MIMAT0004488	hsa-miR-15a-3p
HSA-MIR-17-3P	hsa-mir-17-3p	MIMAT0000071	hsa-miR-17-3p
HSA-MIR-18A-5P	hsa-mir-18a-5p	MIMAT0000072	hsa-miR-18a-5p
HSA-MIR-20A-3P	hsa-mir-20a-3p	MIMAT0004493	hsa-miR-20a-3p
HSA-MIR-92A-3P	hsa-mir-92a-3p	MIMAT0000092	hsa-miR-92a-3p
HSA-MIR-548AR-5P	hsa-mir-548ar-5p	MIMAT0022265	hsa-miR-548ar-5p
