UpperName	miRGate.name	Accession	Name
HSA-MIR-30E-5P	hsa-mir-30e-5p	MIMAT0000692	hsa-miR-30e-5p
HSA-MIR-30C-5P	hsa-mir-30c-5p	MIMAT0000244	hsa-miR-30c-5p
HSA-MIR-6503-5P	hsa-mir-6503-5p	MIMAT0025462	hsa-miR-6503-5p
HSA-MIR-1908-5P	hsa-mir-1908-5p	MIMAT0007881	hsa-miR-1908-5p
HSA-MIR-1908-3P	hsa-mir-1908-3p	MIMAT0026916	hsa-miR-1908-3p
HSA-MIR-615-3P	hsa-mir-615-3p	MIMAT0003283	hsa-miR-615-3p
HSA-MIR-18A-3P	hsa-mir-18a-3p	MIMAT0002891	hsa-miR-18a-3p
HSA-MIR-548AR-5P	hsa-mir-548ar-5p	MIMAT0022265	hsa-miR-548ar-5p
HSA-MIR-329	hsa-mir-329	MIMAT0001629	hsa-miR-329
HSA-MIR-329	hsa-mir-329	MIMAT0001629	hsa-miR-329
HSA-MIR-494-5P	hsa-mir-494-5p	MIMAT0026607	hsa-miR-494-5p
HSA-MIR-495-3P	hsa-mir-495-3p	MIMAT0002817	hsa-miR-495-3p
HSA-MIR-654-5P	hsa-mir-654-5p	MIMAT0003330	hsa-miR-654-5p
HSA-MIR-409-3P	hsa-mir-409-3p	MIMAT0001639	hsa-miR-409-3p
HSA-MIR-328-5P	hsa-mir-328-5p	MIMAT0026486	hsa-miR-328-5p
HSA-MIR-22-3P	hsa-mir-22-3p	MIMAT0000077	hsa-miR-22-3p
HSA-MIR-423-3P	hsa-mir-423-3p	MIMAT0001340	hsa-miR-423-3p
HSA-MIR-193A-3P	hsa-mir-193a-3p	MIMAT0000459	hsa-miR-193a-3p
HSA-MIR-152-5P	hsa-mir-152-5p	MIMAT0026479	hsa-miR-152-5p
HSA-MIR-10A-5P	hsa-mir-10a-5p	MIMAT0000253	hsa-miR-10a-5p
HSA-MIR-3614-5P	hsa-mir-3614-5p	MIMAT0017992	hsa-miR-3614-5p
HSA-MIR-769-5P	hsa-mir-769-5p	MIMAT0003886	hsa-miR-769-5p
HSA-MIR-519A-3P	hsa-mir-519a-3p	MIMAT0002869	hsa-miR-519a-3p
HSA-MIR-10B-5P	hsa-mir-10b-5p	MIMAT0000254	hsa-miR-10b-5p
HSA-MIR-5001-5P	hsa-mir-5001-5p	MIMAT0021021	hsa-miR-5001-5p
HSA-MIR-149-3P	hsa-mir-149-3p	MIMAT0004609	hsa-miR-149-3p
HSA-MIR-125B-2-3P	hsa-mir-125b-2-3p	MIMAT0004603	hsa-miR-125b-2-3p
HSA-MIR-185-5P	hsa-mir-185-5p	MIMAT0000455	hsa-miR-185-5p
HSA-MIR-548J-5P	hsa-mir-548j-5p	MIMAT0005875	hsa-miR-548j-5p
HSA-MIR-4787-5P	hsa-mir-4787-5p	MIMAT0019956	hsa-miR-4787-5p
HSA-MIR-874-5P	hsa-mir-874-5p	MIMAT0026718	hsa-miR-874-5p
HSA-MIR-30C-5P	hsa-mir-30c-5p	MIMAT0000244	hsa-miR-30c-5p
HSA-MIR-30A-5P	hsa-mir-30a-5p	MIMAT0000087	hsa-miR-30a-5p
HSA-MIR-3144-5P	hsa-mir-3144-5p	MIMAT0015014	hsa-miR-3144-5p
HSA-MIR-93-3P	hsa-mir-93-3p	MIMAT0004509	hsa-miR-93-3p
HSA-MIR-30B-5P	hsa-mir-30b-5p	MIMAT0000420	hsa-miR-30b-5p
HSA-MIR-30B-3P	hsa-mir-30b-3p	MIMAT0004589	hsa-miR-30b-3p
HSA-MIR-30D-5P	hsa-mir-30d-5p	MIMAT0000245	hsa-miR-30d-5p
HSA-MIR-362-3P	hsa-mir-362-3p	MIMAT0004683	hsa-miR-362-3p
HSA-MIR-766-5P	hsa-mir-766-5p	MIMAT0022714	hsa-miR-766-5p
HSA-MIR-363-5P	hsa-mir-363-5p	MIMAT0003385	hsa-miR-363-5p
HSA-MIR-92A-2-5P	hsa-mir-92a-2-5p	MIMAT0004508	hsa-miR-92a-2-5p
HSA-MIR-504-5P	hsa-mir-504-5p	MIMAT0002875	hsa-miR-504-5p
HSA-MIR-105-5P	hsa-mir-105-5p	MIMAT0000102	hsa-miR-105-5p
HSA-MIR-105-5P	hsa-mir-105-5p	MIMAT0000102	hsa-miR-105-5p
