UpperName	miRGate.name	Accession	Name
HSA-MIR-200A-3P	hsa-mir-200a-3p	MIMAT0000682	hsa-miR-200a-3p
HSA-MIR-34A-5P	hsa-mir-34a-5p	MIMAT0000255	hsa-miR-34a-5p
HSA-MIR-3605-5P	hsa-mir-3605-5p	MIMAT0017981	hsa-miR-3605-5p
HSA-MIR-30E-5P	hsa-mir-30e-5p	MIMAT0000692	hsa-miR-30e-5p
HSA-MIR-30C-5P	hsa-mir-30c-5p	MIMAT0000244	hsa-miR-30c-5p
HSA-MIR-30C-1-3P	hsa-mir-30c-1-3p	MIMAT0004674	hsa-miR-30c-1-3p
HSA-MIR-101-3P	hsa-mir-101-3p	MIMAT0000099	hsa-miR-101-3p
HSA-MIR-186-5P	hsa-mir-186-5p	MIMAT0000456	hsa-miR-186-5p
HSA-MIR-186-3P	hsa-mir-186-3p	MIMAT0004612	hsa-miR-186-3p
HSA-MIR-942-5P	hsa-mir-942-5p	MIMAT0004985	hsa-miR-942-5p
HSA-MIR-92B-5P	hsa-mir-92b-5p	MIMAT0004792	hsa-miR-92b-5p
HSA-MIR-92B-3P	hsa-mir-92b-3p	MIMAT0003218	hsa-miR-92b-3p
HSA-MIR-9-5P	hsa-mir-9-5p	MIMAT0000441	hsa-miR-9-5p
HSA-MIR-199A-5P	hsa-mir-199a-5p	MIMAT0000231	hsa-miR-199a-5p
HSA-MIR-199A-3P	hsa-mir-199a-3p	MIMAT0000232	hsa-miR-199a-3p
HSA-MIR-488-5P	hsa-mir-488-5p	MIMAT0002804	hsa-miR-488-5p
HSA-MIR-181A-5P	hsa-mir-181a-5p	MIMAT0000256	hsa-miR-181a-5p
HSA-MIR-1296-3P	hsa-mir-1296-3p	MIMAT0026637	hsa-miR-1296-3p
HSA-MIR-3158-3P	hsa-mir-3158-3p	MIMAT0015032	hsa-miR-3158-3p
HSA-MIR-1307-3P	hsa-mir-1307-3p	MIMAT0005951	hsa-miR-1307-3p
HSA-MIR-548E-5P	hsa-mir-548e-5p	MIMAT0026736	hsa-miR-548e-5p
HSA-MIR-210-5P	hsa-mir-210-5p	MIMAT0026475	hsa-miR-210-5p
HSA-MIR-194-5P	hsa-mir-194-5p	MIMAT0000460	hsa-miR-194-5p
HSA-MIR-194-3P	hsa-mir-194-3p	MIMAT0004671	hsa-miR-194-3p
HSA-MIR-139-5P	hsa-mir-139-5p	MIMAT0000250	hsa-miR-139-5p
HSA-MIR-139-3P	hsa-mir-139-3p	MIMAT0004552	hsa-miR-139-3p
HSA-MIR-708-5P	hsa-mir-708-5p	MIMAT0004926	hsa-miR-708-5p
HSA-MIR-1304-5P	hsa-mir-1304-5p	MIMAT0005892	hsa-miR-1304-5p
HSA-MIR-1304-3P	hsa-mir-1304-3p	MIMAT0022720	hsa-miR-1304-3p
HSA-MIR-34B-5P	hsa-mir-34b-5p	MIMAT0000685	hsa-miR-34b-5p
HSA-MIR-34B-3P	hsa-mir-34b-3p	MIMAT0004676	hsa-miR-34b-3p
HSA-MIR-34C-5P	hsa-mir-34c-5p	MIMAT0000686	hsa-miR-34c-5p
HSA-MIR-34C-3P	hsa-mir-34c-3p	MIMAT0004677	hsa-miR-34c-3p
HSA-MIR-125B-5P	hsa-mir-125b-5p	MIMAT0000423	hsa-miR-125b-5p
HSA-MIR-125B-1-3P	hsa-mir-125b-1-3p	MIMAT0004592	hsa-miR-125b-1-3p
HSA-LET-7A-5P	hsa-let-7a-5p	MIMAT0000062	hsa-let-7a-5p
HSA-MIR-100-3P	hsa-mir-100-3p	MIMAT0004512	hsa-miR-100-3p
HSA-MIR-200C-3P	hsa-mir-200c-3p	MIMAT0000617	hsa-miR-200c-3p
HSA-MIR-141-3P	hsa-mir-141-3p	MIMAT0000432	hsa-miR-141-3p
HSA-MIR-196A-5P	hsa-mir-196a-5p	MIMAT0000226	hsa-miR-196a-5p
HSA-MIR-615-3P	hsa-mir-615-3p	MIMAT0003283	hsa-miR-615-3p
HSA-MIR-148B-3P	hsa-mir-148b-3p	MIMAT0000759	hsa-miR-148b-3p
HSA-MIR-616-5P	hsa-mir-616-5p	MIMAT0003284	hsa-miR-616-5p
HSA-MIR-26A-5P	hsa-mir-26a-5p	MIMAT0000082	hsa-miR-26a-5p
HSA-MIR-3613-3P	hsa-mir-3613-3p	MIMAT0017991	hsa-miR-3613-3p
HSA-MIR-16-5P	hsa-mir-16-5p	MIMAT0000069	hsa-miR-16-5p
HSA-MIR-15A-5P	hsa-mir-15a-5p	MIMAT0000068	hsa-miR-15a-5p
HSA-MIR-15A-3P	hsa-mir-15a-3p	MIMAT0004488	hsa-miR-15a-3p
HSA-MIR-17-5P	hsa-mir-17-5p	MIMAT0000070	hsa-miR-17-5p
HSA-MIR-17-3P	hsa-mir-17-3p	MIMAT0000071	hsa-miR-17-3p
HSA-MIR-18A-3P	hsa-mir-18a-3p	MIMAT0002891	hsa-miR-18a-3p
HSA-MIR-19A-5P	hsa-mir-19a-5p	MIMAT0004490	hsa-miR-19a-5p
HSA-MIR-20A-5P	hsa-mir-20a-5p	MIMAT0000075	hsa-miR-20a-5p
HSA-MIR-19B-1-5P	hsa-mir-19b-1-5p	MIMAT0004491	hsa-miR-19b-1-5p
HSA-MIR-92A-3P	hsa-mir-92a-3p	MIMAT0000092	hsa-miR-92a-3p
HSA-MIR-4707-5P	hsa-mir-4707-5p	MIMAT0019807	hsa-miR-4707-5p
HSA-MIR-4707-3P	hsa-mir-4707-3p	MIMAT0019808	hsa-miR-4707-3p
HSA-MIR-625-5P	hsa-mir-625-5p	MIMAT0003294	hsa-miR-625-5p
HSA-MIR-342-5P	hsa-mir-342-5p	MIMAT0004694	hsa-miR-342-5p
HSA-MIR-342-3P	hsa-mir-342-3p	MIMAT0000753	hsa-miR-342-3p
HSA-MIR-345-5P	hsa-mir-345-5p	MIMAT0000772	hsa-miR-345-5p
HSA-MIR-493-5P	hsa-mir-493-5p	MIMAT0002813	hsa-miR-493-5p
HSA-MIR-493-3P	hsa-mir-493-3p	MIMAT0003161	hsa-miR-493-3p
HSA-MIR-337-3P	hsa-mir-337-3p	MIMAT0000754	hsa-miR-337-3p
HSA-MIR-431-5P	hsa-mir-431-5p	MIMAT0001625	hsa-miR-431-5p
HSA-MIR-431-3P	hsa-mir-431-3p	MIMAT0004757	hsa-miR-431-3p
HSA-MIR-136-5P	hsa-mir-136-5p	MIMAT0000448	hsa-miR-136-5p
HSA-MIR-370-3P	hsa-mir-370-3p	MIMAT0000722	hsa-miR-370-3p
HSA-MIR-379-3P	hsa-mir-379-3p	MIMAT0004690	hsa-miR-379-3p
HSA-MIR-411-3P	hsa-mir-411-3p	MIMAT0004813	hsa-miR-411-3p
HSA-MIR-323A-5P	hsa-mir-323a-5p	MIMAT0004696	hsa-miR-323a-5p
HSA-MIR-758-3P	hsa-mir-758-3p	MIMAT0003879	hsa-miR-758-3p
